"video_id","trending_date","title","channel_title","category_id","publish_time","tags","views","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","video_error_or_removed","description","region"
"1KG4499DCdY","18.13.02","(Undertale Comics mix) Извращенец (Чанс) | Русский дубляж [RUS]","RaiderGame","20","2018-02-12T11:27:54.000Z","""undertale|""""undertale comic""""|""""undertale comic rus""""|""""undertale 18+""""|""""chara x sans""""|""""Chans""""|""""Чанс""""|""""Undertale Comics mix""""|""""Undertale Comics mix на русском""""|""""Undertale Comics mix rus""""""","14917","1468","61","347","https://i.ytimg.com/vi/1KG4499DCdY/default.jpg","false","false","false","""Новая озвучка на ваш любимый шип!\n\nSayfach - https://www.youtube.com/channel/UCbM_QsvlDag6VEQVUqs-DpA/featured?disable_polymer=1\n\nОзвучивают:\nCанс - RaiderGame\nТориель","ru"
"oNpEwztJHrE","18.13.02","ЗИМА С ДЕВУШКОЙ И БЕЗ","Room Factory","23","2018-02-10T16:57:43.000Z","""короче говоря|""""room factory""""|""""старосвитский""""|""""шевчук""""|""""елка""""|""""жизнь""""|""""жизнь глазами елки""""|""""зима""""|""""холод""""|""""праздники""""|""""новый год""""|""""типы""""|""""подарок""""|""""деньги""""|""""девушки""""|""""родители""""|""""спорт""""|""""челлендж""""|""""играем в дартс""""|""""отношения""""|""""шоу""""|""""парень""""|""""блог""""|""""любовь""""|""""смешно""""|""""жизнь с девушкой""""|""""жизнь с девушкой и без""""|""""жизнь с парнем""""|""""long story short""""|""""влюбились""""|""""влюбился""""|""""без парня""""|""""святой николай""""|""""отдых""""|""""юмор""""|""""влог""""|""""друг""""|""""комедия""""|""""короче""""|""""rjhjxt ujdjhz""""|""""ржака""""|""""фильмы""""|""""соседка""""|""""игры""""|""""говоря""""|""""без девушки""""|""""школьник""""|""""лучший""""""","945548","55644","2511","2319","https://i.ytimg.com/vi/oNpEwztJHrE/default.jpg","false","false","false","""Скидки до 50% на сайте ► https://goo.gl/vpwb1c\nПринять участие в розыгрыше IPhoneX ► https://goo.gl/enP8FW\n\nМы в Telegram ► https://t.me/room_factory\nМы в Twitter ► https://twitter.com/room_factory\nОфициальная страница ► https://vk.com/roomfactory\nОфициальная страница в FB ► https://www.facebook.com/rooomfactory\nНаш инстаграм ► https://instagram.com/room.factory\n\nСотрудничество ► room-factory@mail.ru\n\nVine video ► https://vk.com/vinevinevine\n\nДругие соц.сети:\nМаксим Старосвитский ► http://instagram.com/starosvitskiy / vk.com/starosvitskiy\nМиша Шевчук ► https://vk.com/id8668733 / instagram.com/shevchuk_misha/\nКсения ( оператор ) ► https://vk.com/id12108072\nhttps://www.instagram.com/kenyabakalo/\nНастя ► https://vk.com/stacey.parker\nhttps://www.instagram.com/nastencha/\nВаня ► https://vk.com/popluzhnyi \nhttps://www.instagram.com/popluzhnyi/\n\n\n\nНа нашем канале представлено множество интересных проектов","ru"
"tMIjgnlDL6U","18.13.02","Вечер с Владимиром Соловьевым от 11.02.18","Вечер с Владимиром Соловьевым","25","2018-02-12T01:14:23.000Z","""Вечер с Владимиром Соловьевым|""""владимир соловьев""""|""""общественно-политические""""|""""ток-шоу""""|""""багдасаров""""|""""сатановский""""|""""шахназаров""""|""""михеев""""|""""жириновский""""|""""политика""""|""""экономика""""|""""общество""""|""""Ковтун""""|""""Кургинян""""|""""кедми""""|""""передача""""|""""интервью""""|""""политик""""|""""дискуссия""""|""""гость""""|""""вопрос""""|""""Владимир Соловьев""""|""""ответ""""""","186073","1673","407","846","https://i.ytimg.com/vi/tMIjgnlDL6U/default.jpg","false","false","false","""Вечер с Владимиром Соловьёвым. Эфир от 11 февраля 2018\nПодписаться на «Вечер с Соловьёвым»: https://www.youtube.com/c/poedinoktv?sub_confirmation=1\n\nОфициальный канал ток-шоу на общественно-политические темы: Воскресный вечер с Владимиром Соловьёвым","ru"
"7-FiJayPU8E","18.13.02","ШООК! 71 ТА ОДАМ ХАЛОК БУЛДИ САМОЛЁТ КУЛАДИ","24 SOAT TV","25","2018-02-11T16:01:07.000Z","""хабар|""""янгилик""""|""""ан-148""""|""""самолёт""""|""""ПОРТЛАШ""""|""""енди""""|""""автобус""""|""""узбек""""|""""узбеклар""""|""""узбекистон""""|""""КУН""""|""""ОЗОДЛИК""""|""""ТЕЗКОР@ХАБАР""""|""""ШАВКАТ""""|""""МИРЗИЁЕВ""""|""""ШАВКАТ МИРЗИЁЕВ""""|""""тезкор""""|""""дахшат""""|""""шок""""|""""UZB""""|""""UZBEKISTON""""|""""YANGILIK""""|""""XABAR""""|""""SHAVKAT MIRZIYOYEV""""|""""DAXSHAT""""|""""TEZKOR XABAR""""""","118014","2880","289","0","https://i.ytimg.com/vi/7-FiJayPU8E/default.jpg","true","false","false","","ru"
"BrTy48tt1Nw","18.13.02","дизайн ногтей. Весенние цветы. Готовимся к 8 марта. Цветы китайская роспись","Дарья Шулунова","26","2018-02-12T11:44:38.000Z","""дизайн ногтей|""""роспись ногтей""""|""""тонкие линии""""|""""китайка""""|""""китайская роспись""""|""""весенний дизайн ногтей""""|""""весенний дизайн""""|""""цветы""""|""""цветы на ногтях""""|""""цветы китайка""""|""""цветй китайская роспись""""|""""двойной мазок""""|""""8 марта""""""","4112","687","11","53","https://i.ytimg.com/vi/BrTy48tt1Nw/default.jpg","false","false","false","сегодня мы с вами будем рисовать цветы в технике китайской росписи. Замечательные легкие и быстрые весенние цветочки. Китайка она же китайская роспись вообще всегда нравилась мне скоростью выполнения дизайна ногтей. Надеюсь она понравиться и вам. Ну и мы будем готовы к празднику всех женщин 8 марта\nСсылочка на урок с линиями\nhttps://youtu.be/3KJn1_M5a5g","ru"
"htEaYSevC2U","18.13.02","Родственники пассажиров разбившегося Ан-148 собрались в аэропорту Орска","РИА Новости","25","2018-02-11T17:32:04.000Z","""Ан-148|""""Орск""""""","22651","33","20","44","https://i.ytimg.com/vi/htEaYSevC2U/default.jpg","false","false","false","""Психологи начали работу в аэропорту оренбургского Орска","ru"
"oljZjiaEhFM","18.13.02","Цепные псы. #Кравченко16","Движение","2","2018-02-12T05:00:04.000Z","""ПДД|""""гаишник185""""|""""приказ""""|""""мвд""""|""""гибдд""""|""""полиция""""|""""мент""""|""""мусор""""|""""орел""""|""""филин""""|""""барсяка""""|""""регламент""""|""""644""""|""""паркмен""""|""""кравченко16""""|""""дом на крови""""|""""учительский""""|""""чоп""""|""""избиение""""|""""ппс""""|""""капитан""""|""""патруль""""|""""овд""""|""""омвд""""|""""ломоносовский""""|""""закон о полиции""""|""""фз""""|""""№3""""|""""мади""""|""""эвакуация""""|""""112""""|""""Лавренов""""|""""начальник""""|""""клещи""""|""""цепь""""|""""перекусывают""""|""""наряд""""|""""дпс""""|""""идпс""""|""""эвакуатор""""|""""нарушение""""|""""значек""""|""""жетон""""|""""шаха""""|""""шестерка""""|""""звонок""""|""""стройка""""|""""детская""""|""""спорт""""|""""площадка""""|""""газель""""|""""протест""""|""""до выборов не бить""""|""""ряженые""""|""""самоуправство""""|""""285""""|""""286""""|""""ук""""|""""статья""""|""""превышение""""|""""полномочий""""|""""стоп""""|""""Цепные псы""""|""""болторез""""""","65324","5808","172","1745","https://i.ytimg.com/vi/oljZjiaEhFM/default.jpg","false","false","false","""Цепные псы #Кравченко16\n7 февраля","ru"
"ImYu2x8EOqc","18.13.02","Котел из Франции. Дорогой и красивый.","Тепло-вода","28","2018-02-11T20:12:54.000Z","""газовый котел|""""надежный котел""""|""""настенный котел""""|""""котел из меди""""|""""эффективный котел""""""","14840","712","42","249","https://i.ytimg.com/vi/ImYu2x8EOqc/default.jpg","false","false","false","Интересно какие найдутся  доводы в пользу покупки такого агрегата.","ru"
"0_8eR47E_o4","18.13.02","Продолжаем бойкот главного спонсора МОК - Coca Cola (Руслан Осташко)","PolitRussia","15","2018-02-12T11:47:03.000Z","""осташко|""""пятиминутка""""|""""кока""""|""""кола""""|""""coca""""|""""cola""""|""""бойкот""""|""""спонсор""""|""""олимпиада""""|""""мок""""|""""вада""""|""""допинг""""|""""спротсмены""""|""""россия""""|""""скандал""""|""""допуск""""""","36588","4166","132","778","https://i.ytimg.com/vi/0_8eR47E_o4/default.jpg","false","false","false","""#БойкотCocaCola\n\nСпасибо всем","ru"
"u8uA_a27izA","18.13.02","Новости РЕН ТВ 12.02.2018 Утренний Новый Выпуск 12.02.18","НОВОСТИ HD","25","2018-02-12T02:35:07.000Z","""главные новости|""""новости мира сегодня""""|""""последние новости сегодня""""|""""новости россии сегодня""""|""""свежие новости""""|""""новости дня""""|""""новости сегодня""""|""""новости мира""""|""""Политика""""|""""Спорт""""|""""последние новости""""|""""новости 2017""""|""""новости россии""""|""""новости украины""""""","9469","36","13","3","https://i.ytimg.com/vi/u8uA_a27izA/default.jpg","false","false","false","","ru"
