"title","channel_title","views"
"""Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon""","""NickyJamTV""","424538912"
"""Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon""","""NickyJamTV""","413586699"
"""Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon""","""NickyJamTV""","402650804"
"""Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon""","""NickyJamTV""","392036878"
"""Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon""","""NickyJamTV""","382401497"
"""Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon""","""NickyJamTV""","372399338"
"""Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon""","""NickyJamTV""","362111555"
"""Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon""","""NickyJamTV""","349987176"
"""Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon""","""NickyJamTV""","339629489"
"""Bad Bunny - Amorfoda | Video Oficial""","""Bad Bunny""","328860380"
